id	parliament	year	candidate_name	edate	birth_year	country_birth	occupation	riding_id	riding	province	votes	percent_votes	party_raw	party_minor_group	party_major_group	gov_party_raw	gov_minor_group	gov_major_group	num_candidates	type_elxn	elected	incumbent	gender	lgbtq2_out	indigenousorigins	lawyer	censuscategory	acclaimed	switcher	multiple_candidacy
26093	1	1867	"POWER,"	"1867-08-07"	1815		"merchant"		"HALIFAX"	"Nova Scotia"	2367	26.125828	"Anti-Confederate"	"Third_Party"	"Third_Party"	"Conservative"	"Conservative"	"Conservative"	4	1	1	0	0		0	0	6	0	1	0
13011	1	1867	"JONES,"	"1867-08-07"	1824		"merchant"		"HALIFAX"	"Nova Scotia"	2381	26.280354	"Labour"	"Labour"	"Third_Party"	"Conservative"	"Conservative"	"Conservative"	4	1	1	0	0		0	0	6	0	1	0
27974	1	1867	"SHANNON, S.L."	"1867-08-07"			"lawyer"		"HALIFAX"	"Nova Scotia"	2154	23.774834	"Unknown"	"Independent"	"Independent"	"Conservative"	"Conservative"	"Conservative"	4	1	0	0	0		0	1	4	0	0	0
18040	1	1867	"KIRKPATRICK, Thomas"	"1867-08-07"	1805		"lawyer"		"FRONTENAC"	"Ontario"	1242	64.18604	"Conservative"	"Conservative"	"Conservative"	"Conservative"	"Conservative"	"Conservative"	2	1	1	0	0		0	1	4	0	0	0
1798	1	1867	"BLANCHET, Hon. J.G."	"1867-08-07"	1829		"physician"		"L�����VIS"	"Quebec"		100.0	"Liberal-Conservative"	"Conservative"	"Conservative"	"Conservative"	"Conservative"	"Conservative"	1	1	1	0	0		0	0	3	1	0	0
28652	1	1867	"SPROAT, A."	"1867-08-07"	1834		"treasurer"		"BRUCE NORTH"	"Ontario"	862	50.291714	"Conservative"	"Conservative"	"Conservative"	"Conservative"	"Conservative"	"Conservative"	2	1	1	0	0		0	0	1	0	0	0
6004	1	1867	"DUFRESNE, A."	"1867-08-07"					"IBERVILLE"	"Quebec"	504	32.74854	"Unknown"	"Independent"	"Independent"	"Conservative"	"Conservative"	"Conservative"	2	1	0	0	0		0			0	0	0
9180	1	1867	"HEATH, Edmund"	"1867-08-07"	1813		"crown lands agent"		"PONTIAC"	"Quebec"		100.0	"Conservative"	"Conservative"	"Conservative"	"Conservative"	"Conservative"	"Conservative"	1	1	1	0	0		0	0	4	1	0	0
26033	1	1867	"POULIN,"	"1867-08-07"			"physician"		"ROUVILLE"	"Quebec"	824	40.0	"Unknown"	"Independent"	"Independent"	"Conservative"	"Conservative"	"Conservative"	2	1	0	0	0		0	0	3	0	0	0
20986	1	1867	"LEEMING,"	"1867-08-07"					"BRANT SOUTH"	"Ontario"	1090	46.44227	"Unknown"	"Independent"	"Independent"	"Conservative"	"Conservative"	"Conservative"	2	1	0	0	0		0			0	0	0
27272	1	1867	"ROUSSEAU,"	"1867-08-07"					"NICOLET"	"Quebec"	499	31.803696	"Unknown"	"Independent"	"Independent"	"Conservative"	"Conservative"	"Conservative"	2	1	0	0	0		0			0	0	0
5339	1	1867	"D�����SAULNIERS, Louis-L�����on Lesieur"	"1867-08-07"	1823		"physician"		"SAINT MAURICE"	"Quebec"		100.0	"Conservative"	"Conservative"	"Conservative"	"Conservative"	"Conservative"	"Conservative"	1	1	1	0	0		0	0	3	1	0	0
