year,fips,totalvotes,DEMOCRAT,REPUBLICAN,OTHER,lagDEM,lagREP,lagOTH,Bac,Ass,High,Low,Civilian_labor_force,Unemployed,unemprate
2000,1001,17208,4942,11993,273,NA,NA,NA,5872,9332,7413,4972,21861,890,0.04071176981839806
2000,1003,56480,13997,40872,1611,NA,NA,NA,17258,28428,28178,22146,69979,2609,0.0372826133554352
2000,1005,10395,5188,5096,111,NA,NA,NA,6679,6124,4025,2068,11449,637,0.05563804699100358
2000,1007,7101,2710,4273,118,NA,NA,NA,4984,4838,2756,962,8623,463,0.053693610112489853
2000,1009,17973,4977,12667,329,NA,NA,NA,9960,12136,8371,3235,25266,891,0.03526478271194491
2000,1011,4904,3395,1433,76,NA,NA,NA,2992,2667,1325,586,3997,341,0.08531398548911684
2000,1013,7803,3606,4127,70,NA,NA,NA,4439,4749,3146,1433,9221,725,0.07862487799587897
2000,1015,38909,15781,22306,822,NA,NA,NA,19318,23856,19576,11265,53244,2722,0.0511231312448351
2000,1017,11834,5616,6037,181,NA,NA,NA,8778,7863,5517,2339,17486,777,0.044435548438751
2000,1019,7823,3497,4154,172,NA,NA,NA,6138,5865,3186,1636,11378,516,0.04535067674459483
2000,1021,15092,4806,10066,220,NA,NA,NA,8757,9264,5307,2574,19601,849,0.04331411662670272
2000,1023,7374,3707,3600,67,NA,NA,NA,3704,3670,2182,1013,6226,411,0.06601349180854481
2000,1025,10752,4679,5988,85,NA,NA,NA,5165,6667,3733,2137,11677,863,0.0739059689988867
2000,1027,5883,2045,3719,119,NA,NA,NA,3322,3690,1992,763,6608,409,0.06189467312348668
2000,1029,5092,1664,3333,95,NA,NA,NA,3536,3417,1701,879,7002,287,0.040988289060268496
2000,1031,15434,5220,9938,276,NA,NA,NA,7755,7571,7985,5574,20037,1176,0.058691420871387935
2000,1033,21532,10543,10518,471,NA,NA,NA,9972,12665,9474,5273,26124,1467,0.05615525953146532
2000,1035,5551,2783,2699,69,NA,NA,NA,2984,3518,1877,851,5521,363,0.06574895852200688
2000,1037,4567,2104,2382,81,NA,NA,NA,2831,3164,1597,663,5329,291,0.05460686808031526
2000,1039,13613,4440,8961,212,NA,NA,NA,8115,8473,5975,3142,17436,1215,0.06968341362697866
2000,1041,4795,1934,2793,68,NA,NA,NA,3700,2689,1840,1039,6155,355,0.057676685621445976
2000,1043,29525,9758,19157,610,NA,NA,NA,15322,16584,13719,6162,38898,1624,0.041750218520232404
2000,1045,15806,4906,10593,307,NA,NA,NA,6976,9159,10857,4398,20923,1103,0.052717105577594035
2000,1047,18464,10967,7360,137,NA,NA,NA,8524,9646,6568,4004,17948,1461,0.08140182750167149
2000,1049,20285,7056,12827,402,NA,NA,NA,15469,14549,9194,3528,32516,1322,0.04065690736868004
2000,1051,23804,6652,16777,375,NA,NA,NA,9679,14576,11749,7173,31195,1251,0.04010258054175349
2000,1053,11660,4523,6975,162,NA,NA,NA,8030,8860,5927,2693,16199,851,0.05253410704364467
2000,1055,39348,17433,21087,828,NA,NA,NA,18115,22531,19811,9372,48496,2844,0.058644011877268226
2000,1057,7808,3064,4582,162,NA,NA,NA,4265,4404,2753,1157,8332,493,0.05916946711473836
2000,1059,11103,4793,6119,191,NA,NA,NA,7904,6363,4572,2021,14729,973,0.06606015343879422
2000,1061,9559,2769,6588,202,NA,NA,NA,6046,5626,4390,1526,12261,630,0.051382432101786155
2000,1063,4396,3504,850,42,NA,NA,NA,2182,2165,1205,652,3534,243,0.06876061120543293
2000,1065,7731,4652,2984,95,NA,NA,NA,3683,3803,2247,858,7023,427,0.060800227822867724
2000,1067,6932,2782,4054,96,NA,NA,NA,3654,3192,2576,1545,7684,382,0.04971369078604893
2000,1069,32057,9412,22150,495,NA,NA,NA,13771,17809,16274,10817,45464,2020,0.04443075840225233
2000,1071,17906,9066,8475,365,NA,NA,NA,12006,12707,7924,3798,28083,1471,0.052380443684791514
2000,1073,273763,129889,138491,5383,NA,NA,NA,82950,121233,123142,106833,331141,13273,0.04008262341419516
2000,1075,7249,2653,4470,126,NA,NA,NA,3759,4036,2125,838,7497,527,0.07029478458049887
