"year","state","fips","totalvotes","DEMOCRAT","REPUBLICAN","OTHER","lagDEM","lagREP","lagOTH"
1948,"AL","01001",2445,1160,110,1175,NA,NA,NA
1952,"AL","01001",2308,1505,787,16,1160,110,1175
1956,"AL","01001",2241,1115,857,269,1505,787,16
1960,"AL","01001",2542,1324,1153,65,1115,857,269
1964,"AL","01001",3460,491,2969,0,1324,1153,65
1968,"AL","01001",7721,5491,597,1633,491,2969,0
1972,"AL","01001",7140,1593,5367,180,5491,597,1633
1976,"AL","01001",9338,4640,4512,186,1593,5367,180
1980,"AL","01001",11063,4295,6292,476,4640,4512,186
1984,"AL","01001",11917,3366,8350,201,4295,6292,476
1988,"AL","01001",11654,3667,7828,159,3366,8350,201
1992,"AL","01001",15585,4819,8715,2051,3667,7828,159
1996,"AL","01001",15422,5015,9509,898,4819,8715,2051
2000,"AL","01001",17208,4942,11993,273,5015,9509,898
2004,"AL","01001",20081,4758,15196,127,4942,11993,273
2008,"AL","01001",23641,6093,17403,145,4758,15196,127
2012,"AL","01001",23973,6363,17379,231,6093,17403,145
2016,"AL","01001",24973,5936,18172,865,6363,17379,231
2020,"AL","01001",27770,7503,19838,429,5936,18172,865
1948,"AL","01003",6022,2577,767,2678,NA,NA,NA
1952,"AL","01003",6617,3386,3179,52,2577,767,2678
1956,"AL","01003",8414,3877,4293,244,3386,3179,52
1960,"AL","01003",10595,5647,4771,177,3877,4293,244
1964,"AL","01003",13400,2530,10870,0,5647,4771,177
1968,"AL","01003",18767,14346,2157,2264,2530,10870,0
1972,"AL","01003",18375,2923,15104,348,14346,2157,2264
1976,"AL","01003",22967,9191,13256,520,2923,15104,348
1980,"AL","01003",28353,8448,18652,1253,9191,13256,520
1984,"AL","01003",33045,7272,24964,809,8448,18652,1253
1988,"AL","01003",35598,9271,25933,394,7272,24964,809
1992,"AL","01003",46476,12195,26270,8011,9271,25933,394
1996,"AL","01003",47119,12776,29487,4856,12195,26270,8011
2000,"AL","01003",56480,13997,40872,1611,12776,29487,4856
2004,"AL","01003",69320,15599,52971,750,13997,40872,1611
2008,"AL","01003",81413,19386,61271,756,15599,52971,750
2012,"AL","01003",85491,18424,66016,1051,19386,61271,756
2016,"AL","01003",95215,18458,72883,3874,18424,66016,1051
2020,"AL","01003",109679,24578,83544,1557,18458,72883,3874
1948,"AL","01005",3465,1679,101,1685,NA,NA,NA
1952,"AL","01005",3050,2250,798,2,1679,101,1685
1956,"AL","01005",3449,2530,777,142,2250,798,2
1960,"AL","01005",3331,2148,1165,18,2530,777,142
1964,"AL","01005",4831,978,3853,0,2148,1165,18
1968,"AL","01005",7982,5483,390,2109,978,3853,0
1972,"AL","01005",7029,1846,4985,198,5483,390,2109
1976,"AL","01005",8690,4730,3758,202,1846,4985,198
1980,"AL","01005",9001,4458,4171,372,4730,3758,202
1984,"AL","01005",10161,4591,5459,111,4458,4171,372
1988,"AL","01005",8899,3836,4958,105,4591,5459,111
1992,"AL","01005",10431,4836,4475,1120,3836,4958,105
1996,"AL","01005",8953,4787,3627,539,4836,4475,1120
2000,"AL","01005",10395,5188,5096,111,4787,3627,539
2004,"AL","01005",10777,4832,5899,46,5188,5096,111
2008,"AL","01005",11630,5697,5866,67,4832,5899,46
2012,"AL","01005",11517,5912,5550,55,5697,5866,67
2016,"AL","01005",10469,4871,5454,144,5912,5550,55
2020,"AL","01005",10518,4816,5622,80,4871,5454,144
1948,"AL","01007",2524,1188,123,1213,NA,NA,NA
1952,"AL","01007",2769,1971,784,14,1188,123,1213
1956,"AL","01007",2587,1476,1004,107,1971,784,14
1960,"AL","01007",2749,1697,1049,3,1476,1004,107
1964,"AL","01007",3126,503,2623,0,1697,1049,3
1968,"AL","01007",4553,3638,260,655,503,2623,0
1972,"AL","01007",4248,837,3332,79,3638,260,655
1976,"AL","01007",4474,2850,1591,33,837,3332,79
1980,"AL","01007",5623,3097,2491,35,2850,1591,33
1984,"AL","01007",5687,2167,3487,33,3097,2491,35
1988,"AL","01007",5146,2244,2885,17,2167,3487,33
1992,"AL","01007",6720,2900,3124,696,2244,2885,17
1996,"AL","01007",6301,2775,3037,489,2900,3124,696
2000,"AL","01007",7101,2710,4273,118,2775,3037,489
2004,"AL","01007",7600,2089,5472,39,2710,4273,118
2008,"AL","01007",8644,2299,6262,83,2089,5472,39
2012,"AL","01007",8420,2202,6132,86,2299,6262,83
2016,"AL","01007",8819,1874,6738,207,2202,6132,86
2020,"AL","01007",9595,1986,7525,84,1874,6738,207
1948,"AL","01009",4328,1768,771,1789,NA,NA,NA
1952,"AL","01009",4888,3161,1720,7,1768,771,1789
1956,"AL","01009",5926,3212,2628,86,3161,1720,7
1960,"AL","01009",5975,3404,2558,13,3212,2628,86
1964,"AL","01009",6869,2427,4442,0,3404,2558,13
1968,"AL","01009",8970,6518,1996,456,2427,4442,0
1972,"AL","01009",8173,1582,6486,105,6518,1996,456
1976,"AL","01009",10978,6645,4233,100,1582,6486,105
1980,"AL","01009",12724,5656,6819,249,6645,4233,100
1984,"AL","01009",12482,3738,8508,236,5656,6819,249
1988,"AL","01009",13548,4485,8754,309,3738,8508,236
1992,"AL","01009",16505,5433,8882,2190,4485,8754,309
1996,"AL","01009",15327,5061,9056,1210,5433,8882,2190
2000,"AL","01009",17973,4977,12667,329,5061,9056,1210
2004,"AL","01009",21504,3938,17386,180,4977,12667,329
2008,"AL","01009",24267,3522,20389,356,3938,17386,180
2012,"AL","01009",24060,2970,20757,333,3522,20389,356
2016,"AL","01009",25588,2156,22859,573,2970,20757,333
2020,"AL","01009",27588,2640,24711,237,2156,22859,573
1948,"AL","01011",1608,799,10,799,NA,NA,NA
1952,"AL","01011",1360,918,442,0,799,10,799
1956,"AL","01011",1173,733,304,136,918,442,0
1960,"AL","01011",1170,757,408,5,733,304,136
1964,"AL","01011",2630,1114,1516,0,757,408,5
1968,"AL","01011",4341,2157,190,1994,1114,1516,0
1972,"AL","01011",4591,2321,2178,92,2157,190,1994
1976,"AL","01011",5092,3536,1482,74,2321,2178,92
1980,"AL","01011",5637,3960,1446,231,3536,1482,74
1984,"AL","01011",5299,3537,1697,65,3960,1446,231
1988,"AL","01011",4584,3122,1421,41,3537,1697,65
1992,"AL","01011",4816,3259,1253,304,3122,1421,41
1996,"AL","01011",4384,3078,1154,152,3259,1253,304
2000,"AL","01011",4904,3395,1433,76,3078,1154,152
2004,"AL","01011",4717,3210,1494,13,3395,1433,76
2008,"AL","01011",5415,4011,1391,13,3210,1494,13
2012,"AL","01011",5322,4061,1251,10,4011,1391,13
2016,"AL","01011",4710,3530,1140,40,4061,1251,10
2020,"AL","01011",4613,3446,1146,21,3530,1140,40
1948,"AL","01013",2722,1313,91,1318,NA,NA,NA
1952,"AL","01013",3528,2440,1087,1,1313,91,1318
1956,"AL","01013",3533,1958,1324,251,2440,1087,1
1960,"AL","01013",4122,2872,1232,18,1958,1324,251
1964,"AL","01013",4975,973,4002,0,2872,1232,18
1968,"AL","01013",7318,5550,504,1264,973,4002,0
1972,"AL","01013",6128,1401,4685,42,5550,504,1264
1976,"AL","01013",7208,4271,2909,28,1401,4685,42
1980,"AL","01013",8368,4156,3810,402,4271,2909,28
1984,"AL","01013",8709,3641,4941,127,4156,3810,402
1988,"AL","01013",7459,3465,3923,71,3641,4941,127
1992,"AL","01013",8478,4021,3494,963,3465,3923,71
1996,"AL","01013",7770,3828,3352,590,4021,3494,963
2000,"AL","01013",7803,3606,4127,70,3828,3352,590
2004,"AL","01013",8416,3413,4979,24,3606,4127,70
2008,"AL","01013",9709,4188,5485,36,3413,4979,24
2012,"AL","01013",9502,4374,5087,41,4188,5485,36
2016,"AL","01013",8732,3726,4901,105,4374,5087,41
2020,"AL","01013",9488,3965,5458,65,3726,4901,105
1948,"AL","01015",7408,3236,856,3316,NA,NA,NA
1952,"AL","01015",11193,8023,3064,106,3236,856,3316
1956,"AL","01015",13894,9063,4473,358,8023,3064,106
1960,"AL","01015",14559,9590,4844,125,9063,4473,358
1964,"AL","01015",16845,6210,10635,0,9590,4844,125
1968,"AL","01015",26871,19290,3051,4530,6210,10635,0
1972,"AL","01015",26471,5832,20364,275,19290,3051,4530
1976,"AL","01015",32700,20466,11763,471,5832,20364,275
1980,"AL","01015",35541,17017,17475,1049,20466,11763,471
1984,"AL","01015",38082,12752,23291,2039,17017,17475,1049
1988,"AL","01015",33968,12451,19806,1711,12752,23291,2039
1992,"AL","01015",42800,16453,20623,5724,12451,19806,1711
1996,"AL","01015",36911,15725,18088,3098,16453,20623,5724
2000,"AL","01015",38909,15781,22306,822,15725,18088,3098
2004,"AL","01015",45249,15083,29814,352,15781,22306,822
2008,"AL","01015",49242,16334,32348,560,15083,29814,352
2012,"AL","01015",46364,15511,30278,575,16334,32348,560
2016,"AL","01015",47864,13242,32865,1757,15511,30278,575
2020,"AL","01015",50983,15216,35101,666,13242,32865,1757
1948,"AL","01017",3287,1520,218,1549,NA,NA,NA
1952,"AL","01017",7190,6155,990,45,1520,218,1549
1956,"AL","01017",6732,5160,1448,124,6155,990,45
1960,"AL","01017",7101,5165,1865,71,5160,1448,124
1964,"AL","01017",7187,2557,4630,0,5165,1865,71
1968,"AL","01017",10638,7858,1084,1696,2557,4630,0
1972,"AL","01017",11003,2076,8716,211,7858,1084,1696
1976,"AL","01017",11848,6164,5488,196,2076,8716,211
1980,"AL","01017",11899,6649,4864,386,6164,5488,196
1984,"AL","01017",13463,5302,8024,137,6649,4864,386
1988,"AL","01017",12956,5103,7694,159,5302,8024,137
1992,"AL","01017",13091,5938,5682,1471,5103,7694,159
1996,"AL","01017",11097,5515,4707,875,5938,5682,1471
2000,"AL","01017",11834,5616,6037,181,5515,4707,875
2004,"AL","01017",13032,5347,7622,63,5616,6037,181
2008,"AL","01017",14956,6799,8067,90,5347,7622,63
2012,"AL","01017",14629,6871,7626,132,6799,8067,90
2016,"AL","01017",13900,5784,7843,273,6871,7626,132
2020,"AL","01017",15284,6365,8753,166,5784,7843,273
1948,"AL","01019",2348,1055,217,1076,NA,NA,NA
1952,"AL","01019",3211,2664,539,8,1055,217,1076
1956,"AL","01019",3513,2661,845,7,2664,539,8
1960,"AL","01019",3970,3097,869,4,2661,845,7
1964,"AL","01019",3809,1916,1893,0,3097,869,4
1968,"AL","01019",5661,4759,343,559,1916,1893,0
1972,"AL","01019",4422,1182,3179,61,4759,343,559
